name,abbrev,duck_bag,duck_hunters,duck_daysAfield,goose_bag,goose_hunters,goose_daysAfield,rankDuck,rankGeese
Alaska,AK,11,4900,5,4,2000,5,36,42
Alabama,AL,12,13900,6,4,5100,5,25,37
Arkansas,AR,22,54100,8,7,19200,5,3,8
Arizona,AZ,11,3200,5,2,1400,5,41,48
California,CA,27,50600,9,5,34700,7,2,3
Colorado,CO,9,11700,6,7,13800,6,33,15
Connecticut,CT,7,1800,6,6,1700,6,46,39
Delaware,DE,11,3800,7,7,3600,6,38,32
Florida,FL,14,14200,6,2,1000,4,21,49
Georgia,GA,9,18300,6,4,10400,5,27,28
Iowa,IA,11,16000,7,5,12800,7,24,23
Idaho,ID,14,16600,6,5,12900,6,16,21
Illinois,IL,13,29500,9,5,23500,8,11,9
Indiana,IN,9,10800,7,5,10600,7,34,24
Kansas,KS,13,15600,6,9,13200,6,19,11
Kentucky,KY,14,9200,8,3,8200,7,29,30
Louisiana,LA,25,73800,8,6,11900,5,1,17
Massachusetts,MA,6,3300,6,4,2700,6,44,38
Maryland,MD,7,16300,5,7,24400,5,31,4
Maine,ME,6,4500,5,3,2800,5,42,41
Michigan,MI,9,35800,6,5,33600,6,13,6
Minnesota,MN,9,65700,6,4,49000,6,5,2
Missouri,MO,15,31800,7,5,13300,6,6,18
Mississippi,MS,21,14100,7,5,5300,5,14,36
Montana,MT,10,12900,5,5,10500,5,30,25
North Carolina,NC,11,27900,6,3,15800,4,12,26
North Dakota,ND,14,31200,5,7,24500,5,7,5
Nebraska,NE,13,12900,7,8,13000,8,26,13
New Hampshire,NH,5,2700,6,3,2100,6,47,44
New Jersey,NJ,9,6100,6,8,4400,5,37,29
New Mexico,NM,12,3000,6,3,1900,4,43,43
Nevada,NV,13,3100,6,3,2100,5,39,45
New York,NY,9,19100,6,8,16800,6,22,7
Ohio,OH,8,15500,7,5,17700,7,32,16
Oklahoma,OK,18,15500,7,6,7900,5,15,27
Oregon,OR,20,19400,8,6,10400,6,10,22
Pennsylvania,PA,5,20900,5,5,25700,5,35,10
Rhode Island,RI,8,700,7,7,600,7,48,47
South Carolina,SC,10,19600,6,4,6900,4,20,35
South Dakota,SD,13,14400,5,8,13500,5,23,12
Tennessee,TN,18,13300,8,3,7900,7,17,31
Texas,TX,16,71600,6,5,40700,3,4,1
Utah,UT,14,15700,7,3,9400,6,18,34
Virginia,VA,8,16300,5,4,14100,5,28,20
Vermont,VT,8,2800,6,5,2200,5,45,40
Washington,WA,19,20900,7,5,12000,5,9,19
Wisconsin,WI,8,53800,7,2,40400,7,8,14
West Virginia,WV,7,900,6,6,900,6,49,46
Wyoming,WY,10,3700,5,6,3800,5,40,33
