FIPS,Ducks,Geese,countyName,state,countyNo,abbrev,rankDuck,rankGeese,percentileDuck,percentileGeese,stateRankDuck,stateRankGeese
01001,1788.802374928,0,Autauga County,1,67,AL,1189,,0.556177678238149,0,21,
01003,4565.67973423833,336.566451792371,Baldwin County,1,67,AL,647,1333,0.758491974617395,0.379711493718008,12,17
01005,3321.70125531485,688.218444421071,Barbour County,1,67,AL,810,977,0.697648376259798,0.545369939506747,15,10
01007,142.389217929742,0,Bibb County,1,67,AL,2354,,0.121313923105636,0,54,
01009,1108.20648799432,103.307298402427,Blount County,1,67,AL,1496,1783,0.441582680104517,0.170311772917636,29,25
01011,1669.48539677813,1036.66422410808,Bullock County,1,67,AL,1238,768,0.537887271369914,0.642624476500698,23,5
01013,0,0,Butler County,1,67,AL,,,0,0,,
01015,73.9663165566909,72.5460223354166,Calhoun County,1,67,AL,2504,1878,0.0653228816722658,0.126105165193113,60,30
01017,471.2391860782,967.339521580721,Chambers County,1,67,AL,1938,808,0.276595744680851,0.624011167985109,46,6
01019,8485.8822648729,1944.43525423496,Cherokee County,1,67,AL,348,457,0.87010078387458,0.7873429502094,5,2
01021,268.79852708384,0,Chilton County,1,67,AL,2163,,0.192609182530795,0,49,
01023,96.5805012937516,0,Choctaw County,1,67,AL,2438,,0.0899589399029489,0,57,
01025,762.522219827746,0,Clarke County,1,67,AL,1714,,0.360209033221351,0,36,
01027,0,0,Clay County,1,67,AL,,,0,0,,
01029,0,0,Cleburne County,1,67,AL,,,0,0,,
01031,5727.76529629937,0,Coffee County,1,67,AL,507,,0.810750279955207,0,8,
01033,619.18362309958,265.707544812549,Colbert County,1,67,AL,1810,1437,0.324374766703994,0.331316891577478,41,21
01035,101.603830255416,0,Conecuh County,1,67,AL,2430,,0.0929451287793953,0,55,
01037,101.245100176557,95.838887787883,Coosa County,1,67,AL,2432,1796.5,0.0921985815602837,0.164029781293625,56,26.5
01039,3845.44599652297,0,Covington County,1,67,AL,729,,0.727883538633819,0,13,
01041,823.265682357781,0,Crenshaw County,1,67,AL,1677,,0.374020156774916,0,34,
01043,68.1969590496663,297.657208527197,Cullman County,1,67,AL,2522,1395,0.0586039567002613,0.350860865518846,61,19
01045,2971.77123558552,0,Dale County,1,67,AL,874,,0.673758865248227,0,20,
01047,5617.46966271806,0,Dallas County,1,67,AL,519,,0.806270996640537,0,9,
01049,1338.46731953434,332.327127050911,DeKalb County,1,67,AL,1372,1343,0.487868607689436,0.375058166589111,24,18
01051,719.803104990158,0,Elmore County,1,67,AL,1741,,0.350130645763345,0,40,
01053,228.277502783209,0,Escambia County,1,67,AL,2216,,0.172825681224337,0,52,
