id,name,abbrev,duck_bag,duck_hunters,duck_daysAfield,goose_bag,goose_hunters,goose_daysAfield,species,percentHarvest,rankDuck,rankGeese
1,Alabama,AL,12,13900,6,4,5100,5,Wood Duck;Gadwall;Mallard,28;24;13,25,37
2,Alaska,AK,11,4900,5,4,2000,5,Mallard;Wigeon;Pintail,34;16;11,36,42
4,Arizona,AZ,11,3200,5,2,1400,5,Mallard;Green-Winged Teal;Shoveler,23;18;11,41,48
5,Arkansas,AR,22,54100,8,7,19200,5,Mallard;Gadwall;Green-Winged Teal,48;17;14,3,8
6,California,CA,27,50600,9,5,34700,7,Green-Winged Teal;Mallard;Shoveler,26;15;15,2,3
8,Colorado,CO,9,11700,6,7,13800,6,Mallard;Gadwall;Green-Winged Teal,52;10;10,33,15
9,Connecticut,CT,7,1800,6,6,1700,6,Mallard;Long-Tailed Duck;Wood Duck,37;16;11,46,39
10,Delaware,DE,11,3800,7,7,3600,6,Mallard;Green-Winged Teal;Black Duck,30;19;13,38,32
11,District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Florida,FL,14,14200,6,2,1000,4,Ring-Necked Duck;Blue-WingedTeal;Wood Duck,32;31;6,21,49
13,Georgia,GA,9,18300,6,4,10400,5,Wood Duck;Ring-Necked Duck;Mallard,57;9;9,27,28
15,Hawaii,,,,,,,,,,,
16,Idaho,ID,14,16600,6,5,12900,6,Mallard;Wigeon;Green-Winged Teal,65;9;6,16,21
17,Illinois,IL,13,29500,9,5,23500,8,Mallard;Wood Duck;Gadwall,50;9;8,11,9
18,Indiana,IN,9,10800,7,5,10600,7,Mallard;Wood Duck;Gadwall,53;13;7,34,24
19,Iowa,IA,11,16000,7,5,12800,7,Mallard;Blue-WingedTeal;Wood Duck,32;19;18,24,23
20,Kansas,KS,13,15600,6,9,13200,6,Mallard;Blue-WingedTeal;Gadwall,44;14;13,19,11
21,Kentucky,KY,14,9200,8,3,8200,7,Mallard;Gadwall;Wood Duck,52;12;10,29,30
22,Louisiana,LA,25,73800,8,6,11900,5,Gadwall;Blue-WingedTeal;Green-Winged Teal,22;21;20,1,17
